"FW_name","temperature_C","ecosystem.type","study_ID","lat","lon","sampling.start.year","sampling.end.year","stability","flux","second.consumption","prim.consumption","S","MaxTL","sim.sec.cons","sim.prim.cons","sim.total"
"Owl Lake",22.38,"Lakes","Adirondack lakes",44.26833333,-74.15305556,1984,1984,71104071.3291804,271.929001455442,53.1398474139922,218.78915404145,29,2.77777777777778,0,0.40625,0.571900826446281
"Rat Lake",15.25,"Lakes","Adirondack lakes",44.35277778,-74.31166667,1984,1984,77789892.9813303,234.892690282969,60.0403743301028,174.852315952866,48,3.90857142857143,0.474900953403369,0.586039895599372,0.709703948244639
"Razorback Lake",12.95,"Lakes","Adirondack lakes",43.84861111,-74.92305556,1984,1984,58458361.7021054,185.5082102583,12.0011651779056,173.507045080395,39,3.38823529411765,0.418666666666667,0.420740740740741,0.641485800669474
"Rock Lake",20.56,"Lakes","Adirondack lakes",44.01055556,-75.01833333,1984,1984,3324456.25865856,50.2565263827443,0.0121170172334866,50.2444093655108,20,2.81818181818182,0,0.34,0.425
"Russian Lake",20.3,"Lakes","Adirondack lakes",43.84138889,-74.80694444,1984,1984,107571.957972628,134.449842186353,5.13326550045924,129.316576685894,22,3.08333333333333,0.375,0,0.389687235841082
"Safford Lake",16.56,"Lakes","Adirondack lakes",43.78416667,-74.91527778,1984,1984,176959049.532642,206.704630328785,14.9196529943215,191.784977334464,42,3.69527665317139,0.365682062298604,0.712144736842105,0.65530884502924
"Sand Lake",14.77777778,"Lakes","Adirondack lakes",44.01055556,-75.01083333,1984,1984,105327712.094789,96.238609262915,4.97452637588862,91.2640828870263,27,3.30555555555556,0.486111111111111,0.634444444444444,0.732592194130656
"Squaw Lake",19.74285714,"Lakes","Adirondack lakes",43.63611111,-74.73888889,1984,1984,57354.9925654569,417.853248872411,9.55648596219428,408.296762910217,38,2.87176274018379,0.639595622051762,0.627215311004785,0.703098190745881
"Stink Lake",14.3,"Lakes","Adirondack lakes",43.63083333,-74.81027778,1984,1984,215548311.098954,158.528827161607,9.11400177787276,149.414825383734,51,3.70157967032967,0.408568517054017,0.290106498439832,0.636012156362348
"Twelfth Tee Lake",13.4625,"Lakes","Adirondack lakes",44.34166667,-74.34166667,1984,1984,29997883.83819,81.7147947693143,9.01674685680821,72.6980479125061,29,3,0.488888888888889,0.656,0.654563492063492
"Twin Lake East",18.025,"Lakes","Adirondack lakes",43.62027778,-74.63555556,1984,1984,1.77031069481494e-09,1628.13118832994,211.313155768994,1416.81803256094,12,3,0.5,0,0.525714285714286
"Twin Lake West",13.71666667,"Lakes","Adirondack lakes",43.6175,-74.64166667,1984,1984,152706.22817274,70.1076810635771,0.783261953778813,69.3244191097983,25,3,0,0,0.552729215229215
"Whipple Lake",23.33333333,"Lakes","Adirondack lakes",44.39388889,-74.30277778,1984,1984,2259572852.69105,1452.23730152947,71.6272832978852,1380.61001823159,30,3.68337912087912,0.381681243926142,0.537029049408276,0.60008281573499
"Maggiore",12.5864127,"Lakes","Lake Maggiore",46.098056,8.714722,1981,2008,20565307.5653117,2196.56839759791,1933.66431112974,262.904086468172,38,4.28728260869566,0.646888888888889,0.425909494232476,0.68783652173913
